Date,Open,High,Low,Close,Adj Close,Volume
2021-01-26,13.060000,13.060000,12.960000,13.026667,13.026667,47400
2021-01-27,12.940000,12.973333,12.846667,12.866667,12.866667,54300
2021-01-28,12.586667,13.193333,12.586667,13.040000,13.040000,50550
2021-01-29,12.673333,12.860000,12.620000,12.800000,12.800000,70350
2021-02-01,12.873333,12.873333,12.586667,12.680000,12.680000,63750
2021-02-02,12.266667,12.720000,12.266667,12.653333,12.653333,30900
2021-02-03,12.860000,12.893333,12.806667,12.853333,12.853333,31650
2021-02-04,12.840000,12.920000,12.800000,12.893333,12.893333,76800
2021-02-05,13.006667,13.066667,12.973333,13.060000,13.060000,40050
2021-02-08,13.580000,13.580000,13.353333,13.446667,13.446667,53550
2021-02-09,13.540000,13.540000,13.466667,13.520000,13.520000,73500
2021-02-10,13.386667,13.640000,13.186667,13.613333,13.613333,50100
2021-02-11,13.606667,13.606667,13.320000,13.320000,13.320000,26400
2021-02-12,13.440000,13.440000,13.153333,13.440000,13.440000,49200
2021-02-16,13.713333,13.746667,13.553333,13.586667,13.586667,309000
2021-02-17,13.533333,13.533333,13.333333,13.406667,13.406667,207000
2021-02-18,13.293333,13.360000,13.240000,13.360000,13.360000,46500
2021-02-19,13.320000,13.333333,13.280000,13.313333,13.313333,46650
2021-02-22,13.213333,13.353333,13.213333,13.320000,13.320000,50850
2021-02-23,13.200000,13.326667,13.133333,13.146667,13.146667,45600
2021-02-24,13.740000,13.740000,13.413333,13.500000,13.500000,246600
2021-02-25,13.160000,13.160000,12.820000,12.913333,12.913333,57750
2021-02-26,12.720000,12.806667,12.706667,12.760000,12.760000,51900
2021-03-01,13.280000,13.280000,13.120000,13.233333,13.233333,49350
2021-03-02,12.966667,13.186667,12.793333,12.820000,12.820000,50550
2021-03-03,13.060000,13.120000,12.960000,13.053333,13.053333,43350
2021-03-04,13.053333,13.120000,12.933333,12.966667,12.966667,60900
2021-03-05,12.833333,13.246667,12.833333,13.246667,13.246667,96000
2021-03-08,13.333333,13.333333,13.180000,13.220000,13.220000,37200
2021-03-09,13.553333,13.700000,13.553333,13.626667,13.626667,88500
2021-03-10,13.600000,13.600000,13.380000,13.600000,13.600000,59250
2021-03-11,13.320000,13.346667,13.086667,13.326667,13.326667,33750
2021-03-12,13.566667,13.566667,13.213333,13.306667,13.306667,45900
2021-03-15,13.500000,13.580000,13.466667,13.540000,13.540000,58050
2021-03-16,13.160000,13.620000,13.160000,13.566667,13.566667,232350
2021-03-17,13.880000,13.880000,13.446667,13.506667,13.506667,112200
2021-03-18,13.433333,13.506667,13.406667,13.406667,13.406667,31800
2021-03-19,13.773333,13.773333,13.560000,13.666667,13.666667,62100
2021-03-22,13.686667,13.793333,13.653333,13.746667,13.746667,125850
2021-03-23,13.420000,13.893333,13.420000,13.780000,13.780000,48300
2021-03-24,13.333333,13.366667,13.273333,13.340000,13.340000,37050
2021-03-25,13.566667,13.726667,13.520000,13.720000,13.720000,46050
2021-03-26,13.353333,13.946667,13.353333,13.926667,13.926667,54300
2021-03-29,13.966667,14.306667,13.886667,13.953333,13.953333,57000
2021-03-30,13.973333,13.973333,13.746667,13.873333,13.873333,186300
2021-03-31,13.620000,13.620000,13.420000,13.500000,13.500000,121650
2021-04-01,13.553333,13.673333,13.553333,13.660000,13.660000,46200
2021-04-05,14.113333,14.113333,13.666667,13.746667,13.746667,58350
2021-04-06,13.873333,13.873333,13.446667,13.446667,13.446667,42600
2021-04-07,13.346667,13.713333,13.346667,13.693333,13.693333,70050
2021-04-08,14.013333,14.013333,13.520000,13.680000,13.680000,65400
2021-04-09,13.486667,13.486667,13.093333,13.186667,13.186667,42600
2021-04-12,13.886667,13.886667,13.206667,13.420000,13.420000,38250
2021-04-13,13.500000,13.620000,13.500000,13.566667,13.566667,50550
2021-04-14,13.273333,13.640000,13.273333,13.626667,13.626667,35250
2021-04-15,14.200000,14.386667,14.200000,14.326667,14.326667,162150
2021-04-16,13.933333,13.973333,13.713333,13.973333,13.973333,67500
2021-04-19,13.893333,13.900000,13.753333,13.806667,13.806667,80700
2021-04-20,13.906667,14.020000,13.733333,13.753333,13.753333,49200
2021-04-21,14.013333,14.013333,13.720000,13.906667,13.906667,42750
2021-04-22,13.680000,13.980000,13.540000,13.880000,13.880000,60900
2021-04-23,13.486667,14.053333,13.486667,14.046667,14.046667,34350
2021-04-26,13.980000,13.980000,13.913333,13.913333,13.913333,41100
2021-04-27,13.726667,13.760000,13.660000,13.746667,13.746667,81750
2021-04-28,13.466667,14.226667,13.466667,13.766667,13.766667,42900
2021-04-29,13.806667,13.920000,13.773333,13.826667,13.826667,34950
2021-04-30,14.266667,14.493333,14.266667,14.346667,14.346667,42600
2021-05-03,14.480000,14.566667,14.400000,14.566667,14.566667,43800
2021-05-04,14.500000,14.500000,14.333333,14.493333,14.493333,40200
2021-05-05,14.166667,14.626667,14.166667,14.446667,14.446667,59250
2021-05-06,14.666667,14.666667,14.506667,14.633333,14.633333,109500
2021-05-07,14.866667,14.946667,14.866667,14.926667,14.926667,25350
2021-05-10,14.533333,14.540000,14.286667,14.286667,14.286667,48450
2021-05-11,14.153333,14.253333,14.060000,14.220000,14.220000,86400
2021-05-12,14.226667,14.793333,13.886667,14.280000,14.280000,200100
2021-05-13,14.886667,14.886667,14.666667,14.840000,14.840000,114150
2021-05-14,15.046667,15.126667,15.006667,15.073333,15.073333,101550
2021-05-17,14.800000,14.800000,14.480000,14.546667,14.546667,51600
2021-05-18,14.873333,15.020000,14.873333,14.900000,14.900000,134550
2021-05-19,14.966667,14.966667,14.793333,14.873333,14.873333,53250
2021-05-20,15.093333,15.093333,14.680000,14.806667,14.806667,177450
2021-05-21,15.213333,15.333333,14.840000,14.900000,14.900000,68400
2021-05-24,15.066667,15.066667,14.960000,14.980000,14.980000,35850
2021-05-25,14.866667,14.880000,14.760000,14.773333,14.773333,112650
2021-05-26,14.880000,14.966667,14.880000,14.946667,14.946667,49800
2021-05-27,14.640000,14.640000,14.486667,14.533333,14.533333,117600
2021-05-28,15.073333,15.073333,14.573333,14.666667,14.666667,108300
2021-06-01,14.400000,14.620000,14.126667,14.213333,14.213333,59850
2021-06-02,14.726667,14.760000,14.700000,14.746667,14.746667,79350
2021-06-03,14.833333,14.873333,14.780000,14.866667,14.866667,41400
2021-06-04,15.026667,15.093333,15.000000,15.046667,15.046667,65700
